time,tracking_error,contact_force
14.482000,0.068738,4.936706
14.522000,0.068331,4.919060
14.562000,0.067925,4.896218
14.602000,0.067520,4.867246
14.642000,0.067111,4.830986
14.682000,0.066709,4.817000
14.722000,0.066319,4.807241
14.762000,0.065940,4.797140
14.802000,0.065570,4.786583
14.842000,0.065207,4.775422
14.882000,0.064849,4.763475
14.922000,0.064494,4.750518
14.962000,0.064138,4.736287
15.002000,0.063877,4.729378
15.042000,0.063661,4.725648
15.082000,0.063449,4.721179
15.122000,0.063239,4.715955
15.162000,0.063031,4.710041
15.202000,0.062826,4.703506
15.242000,0.062566,4.694965
15.282000,0.062217,4.679017
15.322000,0.061857,4.658277
15.362000,0.061477,4.632992
15.402000,0.061072,4.603115
15.442000,0.060661,4.608846
15.482000,0.060248,4.613676
15.522000,0.059830,4.615901
15.562000,0.059407,4.616382
15.602000,0.058982,4.615713
15.642000,0.058555,4.614372
15.682000,0.058128,4.612728
15.722000,0.057701,4.611049
15.762000,0.057276,4.609507
15.802000,0.056851,4.608197
15.842000,0.056427,4.607136
15.882000,0.056004,4.606279
15.922000,0.055579,4.605523
15.962000,0.055153,4.604706
