time,h_tail,h_min,V
6.841000000000619252e+00,9.679499157761759648e-03,1.501194938704725895e-03,5.086633465214791539e-01
6.861000000000625931e+00,9.814256484178832812e-03,1.498037011922765532e-03,5.080048111756005902e-01
6.881000000000632610e+00,9.944218127501434218e-03,1.497204617890230544e-03,5.073411170156276739e-01
6.901000000000639290e+00,1.006953874829607035e-02,1.498644105226060869e-03,5.066724257835781842e-01
6.921000000000645969e+00,1.019036702294247657e-02,1.502304468738630688e-03,5.059988859744228851e-01
6.941000000000652648e+00,1.030685609484461099e-02,1.508136340159300232e-03,5.053206522694214664e-01
6.961000000000659327e+00,1.042332457147629801e-02,1.515220422189395705e-03,5.046326754059391462e-01
6.981000000000666006e+00,1.054614475836743517e-02,1.522213922238908196e-03,5.039262628568732527e-01
7.001000000000672685e+00,1.067587986269013037e-02,1.529022020023380196e-03,5.031998050352639584e-01
7.021000000000679364e+00,1.081267941050314055e-02,1.535644325916202951e-03,5.024521470890567221e-01
7.041000000000686043e+00,1.095671851387063425e-02,1.542081948548063713e-03,5.016820072650967077e-01
7.061000000000692722e+00,1.110821083373402310e-02,1.542223017137873270e-03,5.008879427250932936e-01
7.081000000000699401e+00,1.128560751947538590e-02,1.522159852505217820e-03,5.000405739063136235e-01
7.101000000000706081e+00,1.151007209115205779e-02,1.498693406858171012e-03,4.991029249142659996e-01
7.121000000000712760e+00,1.172833499451907471e-02,1.477050596967861146e-03,4.981537684130947219e-01
7.141000000000719439e+00,1.193800202771276922e-02,1.457466837263571985e-03,4.971972439060772797e-01
7.161000000000726118e+00,1.213947200313055322e-02,1.439923612626698574e-03,4.962337894449371789e-01
7.181000000000732797e+00,1.233337403567579330e-02,1.424699648115552303e-03,4.952684313139645855e-01
7.201000000000739476e+00,1.252028421804936634e-02,1.412020098956818376e-03,4.943058630304755230e-01
7.221000000000746155e+00,1.270046422591342497e-02,1.401832447117185715e-03,4.933463314181570358e-01
7.241000000000752834e+00,1.287415068052140746e-02,1.394073861281059507e-03,4.923898589795164260e-01
7.261000000000759513e+00,1.304157024671366918e-02,1.388684103920696106e-03,4.914364569208046762e-01
7.281000000000766192e+00,1.320294034813395204e-02,1.385605682567032232e-03,4.904861293777272868e-01
7.301000000000772872e+00,1.335846959488114563e-02,1.384783779989590818e-03,4.895388734467865377e-01
7.321000000000779551e+00,1.350837930312386373e-02,1.386166227508162790e-03,4.885947348720969252e-01
7.341000000000786230e+00,1.365296545406126730e-02,1.389703587468500007e-03,4.876539701822257822e-01
7.361000000000792909e+00,1.379243286460097098e-02,1.395348785397394070e-03,4.867166068258975131e-01
7.381000000000799588e+00,1.392695530261881323e-02,1.403057134113389753e-03,4.857826020818375445e-01
7.401000000000806267e+00,1.405670253122609861e-02,1.412785706560133053e-03,4.848519003818297923e-01
7.421000000000812946e+00,1.418619754342749853e-02,1.423660701467727857e-03,4.839183299670501426e-01
7.441000000000819625e+00,1.432244735853362497e-02,1.434353158319651850e-03,4.829716162080197051e-01
7.461000000000826304e+00,1.446609837890592068e-02,1.444767459743218768e-03,4.820099030386101879e-01
7.481000000000832983e+00,1.461732424623427354e-02,1.435680338989126642e-03,4.810319103093766424e-01
7.501000000000839663e+00,1.477632680031919568e-02,1.420148151035655754e-03,4.800362344115186031e-01
7.521000000000846342e+00,1.494335075116804204e-02,1.404898156581364105e-03,4.790213115341642736e-01
7.541000000000853021e+00,1.516217667124064930e-02,1.386068811475588830e-03,4.779159155560178673e-01
7.561000000000859700e+00,1.540478412813431688e-02,1.366242322185146768e-03,4.767596098025185247e-01
7.581000000000866379e+00,1.563865292351797678e-02,1.348324920667127308e-03,4.756033295426203567e-01
7.601000000000873058e+00,1.586339622211548409e-02,1.332352485140370774e-03,4.744478860201020720e-01
7.621000000000879737e+00,1.607934300587881074e-02,1.318337910041950806e-03,4.732935036167231768e-01
7.641000000000886416e+00,1.628729714845450829e-02,1.306638533698629284e-03,4.721457899185637075e-01
7.661000000000893095e+00,1.648776198136967311e-02,1.297360836266487488e-03,4.710070921859823012e-01
7.681000000000899774e+00,1.668101687308659944e-02,1.290448364180758062e-03,4.698773484020632996e-01
7.701000000000906454e+00,1.686732396995209785e-02,1.285842975141966021e-03,4.687564282422896911e-01
7.721000000000913133e+00,1.704693449687473897e-02,1.283489107240760180e-03,4.676441982790925378e-01
7.741000000000919812e+00,1.722008938099580180e-02,1.283333782953272745e-03,4.665405230457772556e-01
7.761000000000926491e+00,1.738702784515848768e-02,1.285326556241268153e-03,4.654452767718020856e-01
7.781000000000933170e+00,1.754808211174012714e-02,1.289419617986193450e-03,4.643584803488744472e-01
7.801000000000939849e+00,1.770351428271378993e-02,1.295567500183798099e-03,4.632800603672428963e-01
7.821000000000946528e+00,1.785352548778253515e-02,1.303726998646132645e-03,4.622098635221681406e-01
7.841000000000953207e+00,1.799830747402235767e-02,1.313857203963170878e-03,4.611477317272133503e-01
7.861000000000959886e+00,1.813804447936461298e-02,1.325919469088072261e-03,4.600935043164215976e-01
7.881000000000966565e+00,1.827458304474594356e-02,1.339579541346964248e-03,4.590445148067147652e-01
7.901000000000973245e+00,1.841678471874834758e-02,1.353263291448931344e-03,4.579871862712867614e-01
7.921000000000979924e+00,1.856686622411326051e-02,1.360000480204032886e-03,4.569172722575698953e-01
7.941000000000986603e+00,1.872504016693123455e-02,1.346427979595238994e-03,4.558334100688100632e-01
7.961000000000993282e+00,1.889151607078639120e-02,1.333095219170372242e-03,4.547341695219436764e-01
7.981000000000999961e+00,1.910881891158482462e-02,1.316453829770320577e-03,4.535484168319117160e-01
8.001000000001004864e+00,1.937182511167587565e-02,1.297026528876605439e-03,4.522794185289953361e-01
8.021000000000993779e+00,1.962639341240493898e-02,1.279384991559068957e-03,4.510146171931088688e-01
8.041000000000982695e+00,1.987206964431970438e-02,1.263628573338688305e-03,4.497566640245683756e-01
8.061000000000971610e+00,2.015476607059086059e-02,1.249411976504927885e-03,4.485324101444086997e-01
8.081000000000960526e+00,2.040147672217821131e-02,1.237286697021017928e-03,4.472974959888306734e-01
8.101000000000949441e+00,2.061881810793380135e-02,1.227548732609735210e-03,4.460608269224328182e-01
8.121000000000938357e+00,2.082796285090936575e-02,1.220158929586896007e-03,4.448366912736473888e-01
8.141000000000927272e+00,2.102977966157413073e-02,1.215060260089734917e-03,4.436252524735878056e-01
8.161000000000916188e+00,2.122455282710915617e-02,1.212197763534223621e-03,4.424262834406240685e-01
8.181000000000905104e+00,2.141254505105124120e-02,1.211518993692557028e-03,4.412395521469612558e-01
8.201000000000894019e+00,2.159400825368737800e-02,1.212973961999281453e-03,4.400648283235791824e-01
8.221000000000882935e+00,2.176918427055284447e-02,1.216515076055985772e-03,4.389018833180823864e-01
8.241000000000871850e+00,2.193830533597678281e-02,1.222097084015622698e-03,4.377504898972923719e-01
8.261000000000860766e+00,2.210159454361607448e-02,1.229677024854897854e-03,4.366104219547882748e-01
8.281000000000849681e+00,2.225926630654068497e-02,1.239214184535892410e-03,4.354814542051839155e-01
8.301000000000838597e+00,2.241152671368868213e-02,1.250670058810705171e-03,4.343633623176815783e-01
8.321000000000827512e+00,2.255857688722065837e-02,1.264008323213789559e-03,4.332559226078331327e-01
8.341000000000816428e+00,2.270113587688976989e-02,1.279164911867431559e-03,4.321588277347176987e-01
8.361000000000805343e+00,2.284601590494403714e-02,1.294909261447669407e-03,4.310600735490365820e-01
8.381000000000794259e+00,2.302164289555540602e-02,1.308977132777239955e-03,4.299447540560327741e-01
8.401000000000783174e+00,2.326270209211292808e-02,1.309454901306312397e-03,4.287950816257129483e-01
8.421000000000772090e+00,2.360945543319444354e-02,1.288146302570531559e-03,4.274786476490187725e-01
8.441000000000761005e+00,2.395877513362755853e-02,1.267556341598658626e-03,4.261464354976129409e-01
8.461000000000749921e+00,2.429459054579575020e-02,1.248889073814336143e-03,4.248232691699142527e-01
8.481000000000738837e+00,2.461707579696970419e-02,1.232137223012869792e-03,4.235091726585261118e-01
8.501000000000727752e+00,2.492668144087133511e-02,1.217274369536853335e-03,4.222037122561266842e-01
8.521000000000716668e+00,2.522935826294677233e-02,1.204246872306264510e-03,4.204315677281923458e-01
8.541000000000705583e+00,2.547350000532035488e-02,1.193370662702048640e-03,4.190881398749954911e-01
8.561000000000694499e+00,2.568666944817550937e-02,1.184827945130157573e-03,4.178229709752974141e-01
8.581000000000683414e+00,2.589209671148682071e-02,1.178578857520113515e-03,4.165741185012067915e-01
8.601000000000672330e+00,2.610837703908410259e-02,1.174588686433070822e-03,4.153408280058223934e-01
8.621000000000661245e+00,2.635915068190922486e-02,1.172840328371244772e-03,4.141230110370615614e-01
8.641000000000650161e+00,2.660321158684314860e-02,1.173242290020987816e-03,4.129184403204716469e-01
8.661000000000639076e+00,2.683888592539744947e-02,1.175742513695971631e-03,4.117267872600987033e-01
8.681000000000627992e+00,2.706645527683918320e-02,1.180293442802311105e-03,4.105478032526322929e-01
8.701000000000616907e+00,2.728622459890927068e-02,1.186849877294077898e-03,4.093812445344669482e-01
8.721000000000605823e+00,2.749848757778629652e-02,1.195368880568054709e-03,4.082268709419226704e-01
8.741000000000594738e+00,2.770352653080293895e-02,1.205809732786628646e-03,4.070844450908417955e-01
8.761000000000583654e+00,2.790161401324413662e-02,1.218133722903875366e-03,4.059537276429168728e-01
8.781000000000572570e+00,2.809790361241909853e-02,1.231535213598217854e-03,4.048266939665134956e-01
8.801000000000561485e+00,2.830100653145603898e-02,1.244675393045142214e-03,4.036892412860889068e-01
8.821000000000550401e+00,2.857509595996588284e-02,1.254092055414508106e-03,3.993591004326836336e-01
8.841000000000539316e+00,2.924167672615466188e-02,1.238996423347422243e-03,3.769353267887919356e-01
8.861000000000528232e+00,2.997705261450349726e-02,1.219149434862471654e-03,3.521113468571965277e-01
8.881000000000517147e+00,3.068820254504538506e-02,1.202746127649718250e-03,3.281307756373703644e-01
8.901000000000506063e+00,3.133029633391616608e-02,1.191444715508322566e-03,3.165913146535018763e-01
8.921000000000494978e+00,3.168626604489661880e-02,1.191908834285788227e-03,3.182412277539556911e-01
8.941000000000483894e+00,3.200510249644993033e-02,1.196252623489175299e-03,3.184131662440994881e-01
8.961000000000472809e+00,3.231100454167259994e-02,1.203696230916002224e-03,3.185400225606189184e-01
8.981000000000461725e+00,3.257427348512248466e-02,1.196238515485299053e-03,3.168468516947224312e-01
9.001000000000450640e+00,3.273653473008605874e-02,1.186269356446962436e-03,3.098399418877617051e-01
9.021000000000439556e+00,3.289891537555922341e-02,1.178591567189319483e-03,3.092363473667528728e-01
9.041000000000428471e+00,3.312582543580669392e-02,1.173246394318611802e-03,3.096425279072945180e-01
9.061000000000417387e+00,3.334706558458730430e-02,1.170101012146946423e-03,3.099152829898074168e-01
9.081000000000406303e+00,3.363585632058840869e-02,1.169221508803570259e-03,3.056841691438049180e-01
9.101000000000395218e+00,3.395499810460370083e-02,1.170512593434275966e-03,3.061423478152684452e-01
9.121000000000384134e+00,3.419367267390353848e-02,1.173741288568969782e-03,3.065328614221295433e-01
9.141000000000373049e+00,3.442294861454074650e-02,1.178972796547512331e-03,3.068054944066454515e-01
9.161000000000361965e+00,3.464482696143388052e-02,1.186165970193737290e-03,3.070609994891779215e-01
9.181000000000350880e+00,3.485962447065492353e-02,1.195279062035276701e-03,3.073015026328950738e-01
9.201000000000339796e+00,3.506871151603302428e-02,1.206103984207691077e-03,3.075255216733469577e-01
9.221000000000328711e+00,3.528198523165819445e-02,1.217125616577236641e-03,3.077172633301079596e-01
9.241000000000317627e+00,3.550305452816085450e-02,1.227805880381866582e-03,3.078706406881341340e-01
9.261000000000306542e+00,3.573213235423253198e-02,1.238134446381339987e-03,3.079850084422954271e-01
9.281000000000295458e+00,3.600971515307041515e-02,1.241960563707917437e-03,3.079899701986574256e-01
9.301000000000284373e+00,3.638896915401219900e-02,1.231175223336006957e-03,3.077881044687766354e-01
9.321000000000273289e+00,3.676038539060634547e-02,1.222631959942616781e-03,3.075672011027583141e-01
9.341000000000262204e+00,3.711788348275349425e-02,1.217292216643701269e-03,3.073386184363358642e-01
9.361000000000251120e+00,3.746184223316055550e-02,1.215123005600855094e-03,3.071024375728344524e-01
9.381000000000240036e+00,3.779274150960192091e-02,1.216078257657089018e-03,3.068585331784562387e-01
9.401000000000228951e+00,3.811104738874253328e-02,1.220116630928153728e-03,3.066067751607782221e-01
9.421000000000217867e+00,3.841721064811538799e-02,1.227201958155139244e-03,3.063470310139507768e-01
9.441000000000206782e+00,3.871221416582087960e-02,1.237327208725842037e-03,3.060810234554321441e-01
9.461000000000195698e+00,3.899772905268529544e-02,1.233147191012601979e-03,3.058114259789417311e-01
9.481000000000184613e+00,3.928267690777546839e-02,1.223290970860286403e-03,3.055246058186121272e-01
9.501000000000173529e+00,3.957298451261224981e-02,1.213404871883778241e-03,3.052108862893100905e-01
9.521000000000162444e+00,3.986894844750761557e-02,1.203446221577215286e-03,3.048695861216011438e-01
9.541000000000151360e+00,4.017067251550027196e-02,1.193406216860221775e-03,3.045003085284104238e-01
9.561000000000140275e+00,4.047828026495355058e-02,1.183276215003931792e-03,3.041025923945235854e-01
9.581000000000129191e+00,4.079192112471967391e-02,1.173047038494041266e-03,3.036758978449209945e-01
9.601000000000118106e+00,4.111177316037983864e-02,1.162708872811297339e-03,3.032195965242579505e-01
9.621000000000107022e+00,4.143804626204906916e-02,1.152251160798051927e-03,3.027329602858856994e-01
9.641000000000095937e+00,4.177098594084772964e-02,1.141662479299105498e-03,3.022151478195417851e-01
9.661000000000084853e+00,4.211087787697057050e-02,1.130930393399860040e-03,3.016651887405940036e-01
9.681000000000073769e+00,4.245805339579383775e-02,1.120041283435919272e-03,3.010819645774837627e-01
9.701000000000062684e+00,4.281403764401138512e-02,1.108801496901585387e-03,3.004620766297225742e-01
9.721000000000051600e+00,4.317716695277254435e-02,1.097504807288169487e-03,2.998083298021344545e-01
